entry,exit,pnl,reason,type,pnl_pct,entry_time,exit_time,scales,scale_prices
43500.01,46110.0,148.79939567829973,SL,long,5.999975632189505,2024-01-05 12:00:00,2024-01-09 20:00:00,1,[np.float64(43500.01)]
42015.65,42190.16,-10.453833551780836,Trend Change,short,-0.4153452344543093,2024-02-01 00:00:00,2024-02-01 04:00:00,1,[np.float64(42015.65)]
42851.11,44349.6,109.9057860305414,TP,long,3.496968923325435,2024-02-06 00:00:00,2024-02-07 20:00:00,1,[np.float64(42851.11)]
50911.11,54487.11,178.5198007195363,TP,long,7.024007137145507,2024-02-23 12:00:00,2024-02-26 16:00:00,1,[np.float64(50911.11)]
69594.94,68237.15,-63.0618164977555,SL,long,-1.950989540331536,2024-04-01 04:00:00,2024-04-01 12:00:00,1,[np.float64(69594.94)]
69649.8,66703.97,-108.70629942835716,SL,long,-4.229488096161082,2024-04-01 20:00:00,2024-04-02 00:00:00,1,[np.float64(69649.8)]
69264.0,68657.32,-22.27612178805038,SL,long,-0.8758951258951159,2024-04-09 12:00:00,2024-04-10 12:00:00,1,[np.float64(69264.0)]
68657.32,69347.3,25.503085100214015,SL,long,1.0049620346381067,2024-04-10 12:00:00,2024-04-12 12:00:00,1,[np.float64(68657.32)]
64747.11,64021.62,28.505926109090655,SL,short,1.1204978878593932,2024-04-25 16:00:00,2024-04-28 00:00:00,1,[np.float64(64747.11)]
62312.08,62893.99,-23.823899252691454,SL,short,-0.9338638671666812,2024-05-07 20:00:00,2024-05-08 00:00:00,1,[np.float64(62312.08)]
62273.08,63074.01,-32.73531329132639,SL,short,-1.2861576784061433,2024-05-08 12:00:00,2024-05-09 20:00:00,1,[np.float64(62273.08)]
67199.98,68507.67,49.370835316547854,SL,long,1.945967841061861,2024-05-23 16:00:00,2024-05-26 20:00:00,1,[np.float64(67199.98)]
68434.26,70373.85,90.31753047606286,TP,long,2.8342382894182108,2024-05-27 08:00:00,2024-05-27 12:00:00,1,[np.float64(68434.26)]
68050.3,67694.0,-13.465130436721092,SL,long,-0.5235832905953433,2024-05-28 00:00:00,2024-05-28 04:00:00,1,[np.float64(68050.3)]
67720.07949378848,67266.78,-27.507318246600352,SL,long,-0.6693723592425165,2024-05-28 04:00:00,2024-05-29 16:00:00,2,"[np.float64(67694.0), np.float64(67763.59)]"
67584.56,67215.58,-13.984945537395218,SL,long,-0.5459530993469454,2024-05-30 04:00:00,2024-05-31 12:00:00,1,[np.float64(67584.56)]
67681.0,68809.9,42.66833855616682,SL,long,1.6679718089271645,2024-05-31 16:00:00,2024-06-03 20:00:00,1,[np.float64(67681.0)]
69255.0,68464.0,-29.338314528664867,SL,long,-1.1421558010251969,2024-06-07 16:00:00,2024-06-11 00:00:00,1,[np.float64(69255.0)]
64094.49372876166,67560.01,221.58742412452108,TP,long,5.406886098365766,2024-07-25 00:00:00,2024-07-26 12:00:00,2,"[np.float64(64093.59), np.float64(64096.0)]"
59435.69,58456.99,43.082333794130655,SL,short,1.6466537193393467,2024-08-14 12:00:00,2024-08-16 04:00:00,1,[np.float64(59435.69)]
62417.0,61709.13,-37.241527722965934,SL,long,-1.1340980822532365,2024-08-27 08:00:00,2024-08-27 12:00:00,1,[np.float64(62417.0)]
61709.13,59415.0,-97.32085565680147,SL,long,-3.7176508565264132,2024-08-27 12:00:00,2024-08-27 20:00:00,1,[np.float64(61709.13)]
63819.44,63561.41,-13.108164253790392,SL,long,-0.4043125417584342,2024-09-30 08:00:00,2024-09-30 12:00:00,1,[np.float64(63819.44)]
63533.86136425732,63327.59,-16.82029705539464,SL,long,-0.32466366726037715,2024-09-30 12:00:00,2024-09-30 20:00:00,2,"[np.float64(63561.41), np.float64(63488.0)]"
63327.59,62628.85,-35.66996733520532,SL,long,-1.1033737427873032,2024-09-30 20:00:00,2024-10-01 12:00:00,1,[np.float64(63327.59)]
66342.41162080341,67531.97,73.94290518800311,SL,long,1.7930586937294477,2024-10-23 08:00:00,2024-10-25 04:00:00,2,"[np.float64(66414.0), np.float64(66223.44)]"
67690.01,66850.0,-32.212238198844545,SL,long,-1.2409659859704478,2024-10-25 12:00:00,2024-10-25 16:00:00,1,[np.float64(67690.01)]
66793.04298456873,69962.21,196.45191213888174,TP,long,4.744756150971368,2024-10-25 16:00:00,2024-10-28 20:00:00,2,"[np.float64(66850.0), np.float64(66698.33)]"
69369.99,68379.89,-37.629663658664626,SL,long,-1.427274243516549,2024-11-01 00:00:00,2024-11-03 00:00:00,1,[np.float64(69369.99)]
68715.33917563371,67856.0,-52.567077608974415,SL,long,-1.2505783802322077,2024-11-03 16:00:00,2024-11-04 16:00:00,2,"[np.float64(68679.0), np.float64(68775.99)]"
68995.99,74348.53,202.79560717740642,TP,long,7.757755197077386,2024-11-05 16:00:00,2024-11-06 00:00:00,1,[np.float64(68995.99)]
93010.01,92356.85,-18.71063358913373,SL,long,-0.7022469947051818,2024-11-25 20:00:00,2024-11-26 08:00:00,1,[np.float64(93010.01)]
92527.37984623731,95007.14,114.05149586811493,SL,long,2.680028503869422,2024-11-26 08:00:00,2024-11-28 12:00:00,2,"[np.float64(92356.85), np.float64(92813.0)]"
95128.68,95816.0,24.276896703727424,SL,long,0.7225160698119716,2024-12-02 08:00:00,2024-12-02 16:00:00,1,[np.float64(95128.68)]
95816.0,94988.01,-23.280609521558684,SL,long,-0.8641458629039046,2024-12-02 16:00:00,2024-12-03 08:00:00,1,[np.float64(95816.0)]
94988.01,102964.0,225.73108844894313,TP,long,8.396838716802264,2024-12-03 08:00:00,2024-12-05 00:00:00,1,[np.float64(94988.01)]
97398.43,99481.32,58.686861248937205,SL,long,2.1385252308481912,2024-12-11 00:00:00,2024-12-12 16:00:00,1,[np.float64(97398.43)]
99481.32,103757.99,118.60088182401392,SL,long,4.298967886634393,2024-12-12 16:00:00,2024-12-16 08:00:00,1,[np.float64(99481.32)]
101193.15,100679.86,-14.142985687061254,Trend Change,long,-0.5072378911023065,2024-12-19 00:00:00,2024-12-19 12:00:00,1,[np.float64(101193.15)]
97952.26,96451.98,-42.65211859202852,SL,long,-1.5316440886611487,2025-01-07 12:00:00,2025-01-07 16:00:00,1,[np.float64(97952.26)]
102424.24,101335.52,-29.48786985497657,SL,long,-1.0629515044485571,2025-01-28 16:00:00,2025-01-28 20:00:00,1,[np.float64(102424.24)]
95687.71,96422.6,-21.249551243464072,SL,short,-0.7680087651799791,2025-02-19 04:00:00,2025-02-19 08:00:00,1,[np.float64(95687.71)]
95872.02,91552.88,155.51455068608846,TP,short,4.505110041490728,2025-02-24 04:00:00,2025-02-24 20:00:00,1,[np.float64(95872.02)]
83483.97,77707.77,193.7394519447139,TP,short,6.9189330598437,2025-04-03 00:00:00,2025-04-07 00:00:00,1,[np.float64(83483.97)]
84334.01,87415.1,104.05654403716791,SL,long,3.65343708902258,2025-04-16 16:00:00,2025-04-21 16:00:00,1,[np.float64(84334.01)]
94761.91,94038.18,-27.437072030307863,SL,long,-0.763735133662893,2025-05-05 04:00:00,2025-05-05 08:00:00,1,[np.float64(94761.91)]
93937.54959493097,96834.02,176.81349103768426,TP,long,3.0834000009143656,2025-05-05 08:00:00,2025-05-06 20:00:00,2,"[np.float64(94038.18), np.float64(93770.31)]"
107860.05,106900.95,-25.885138010622818,SL,long,-0.8892078206898715,2025-06-12 00:00:00,2025-06-12 08:00:00,1,[np.float64(107860.05)]
107020.95,105671.73,-45.773319996578444,SL,long,-1.2607064317780783,2025-06-12 12:00:00,2025-06-12 20:00:00,1,[np.float64(107020.95)]
104217.99,98906.21,147.4637208004408,TP,short,5.096797587441476,2025-06-20 12:00:00,2025-06-22 12:00:00,1,[np.float64(104217.99)]
107406.81,107614.08,7.067365413001804,SL,long,0.19297659059048872,2025-06-29 16:00:00,2025-06-30 04:00:00,1,[np.float64(107406.81)]
107614.08,107146.5,-15.922068064032429,SL,long,-0.43449704722653554,2025-06-30 04:00:00,2025-06-30 20:00:00,1,[np.float64(107614.08)]
107146.5,106605.8,-18.46739608153936,SL,long,-0.5046361757033567,2025-06-30 20:00:00,2025-07-01 08:00:00,1,[np.float64(107146.5)]
106605.8,105955.18,-22.299438570227892,SL,long,-0.6103045050081796,2025-07-01 08:00:00,2025-07-01 12:00:00,1,[np.float64(106605.8)]
106194.7,109676.14,119.55864562637089,TP,long,3.278355699484063,2025-07-02 00:00:00,2025-07-02 16:00:00,1,[np.float64(106194.7)]
107573.29,108642.01,36.5995558613488,SL,long,0.9934808166599732,2025-07-04 12:00:00,2025-07-07 08:00:00,1,[np.float64(107573.29)]
108292.59,108056.68,-8.050065611265678,SL,long,-0.2178450067543897,2025-07-07 12:00:00,2025-07-07 16:00:00,1,[np.float64(108292.59)]
108056.68,111750.0,126.21871124462096,TP,long,3.4179469515443253,2025-07-07 16:00:00,2025-07-09 16:00:00,1,[np.float64(108056.68)]
117265.12,118070.17,25.62063231575805,SL,long,0.6865212775972965,2025-07-20 20:00:00,2025-07-21 08:00:00,1,[np.float64(117265.12)]
118592.38,117400.01,-37.60221150929241,SL,long,-1.0054355937540083,2025-07-29 08:00:00,2025-07-29 12:00:00,1,[np.float64(118592.38)]
117446.95868754749,116916.73,-26.930524761658944,SL,long,-0.4514622545127811,2025-07-29 12:00:00,2025-07-30 16:00:00,2,"[np.float64(117400.01), np.float64(117525.29)]"
115875.32,116394.72,16.67403852443764,SL,long,0.4482404018387989,2025-09-17 12:00:00,2025-09-19 08:00:00,1,[np.float64(115875.32)]
121147.14,119018.98,-52.34967043138312,SL,long,-1.7566737440107985,2025-10-09 12:00:00,2025-10-10 12:00:00,1,[np.float64(121147.14)]
111509.74,106536.39,132.33139872857527,TP,short,4.4600139862221955,2025-10-29 12:00:00,2025-10-30 16:00:00,1,[np.float64(111509.74)]
90360.0,86346.13,166.5716405911595,TP,short,4.442087206728636,2025-11-30 20:00:00,2025-12-01 00:00:00,1,[np.float64(90360.0)]
90459.35,91425.52,-32.48206956422973,SL,short,-1.0680709069875012,2025-12-05 12:00:00,2025-12-07 16:00:00,1,[np.float64(90459.35)]
89880.01,90839.81,-32.38988065053855,SL,short,-1.067868149992421,2025-12-11 00:00:00,2025-12-11 16:00:00,1,[np.float64(89880.01)]
89935.14,87261.45,89.9335376942683,SL,short,2.9729091431891943,2025-12-12 12:00:00,2025-12-16 08:00:00,1,[np.float64(89935.14)]
